status of checking account,duration in month,credit history,purpose,credit amount,savings account/bonds,present employment since,installment rate in percentage,personal status and sex,other debtors / guarantors,present residence since,property,age,other installment plans,housing,number of existing credits,job,no of people being liable,telephone,foreign worker,class
no checking account,24,existing credits paid back duly till now,car (used),9277,unknown/ no savings account,1  <= x < 4 years,2,male:divorced/separated,none,4,unknown/no property,48,none,for free,1,skilled employee/official,1,"yes, registered under the customers name",yes,1
0 <= x < 200 DM,30,critical account/ other credits existing (not at this bank),car (new),2181,unknown/ no savings account,x >= 7 years,4,male:single,none,4,real estate,36,none,own,2,skilled employee/official,1,none,yes,1
no checking account,18,critical account/ other credits existing (not at this bank),radio/television,1098,x <  100 DM,unemployed,4,female:divorced/separated/married,none,4,car or other,65,none,own,2,unemployed/unskilled-non-resident,1,none,yes,1
0 <= x < 200 DM,24,existing credits paid back duly till now,furniture/equipment,4057,x <  100 DM,4  <= x < 7 years,3,male:divorced/separated,none,3,car or other,43,none,own,1,skilled employee/official,1,"yes, registered under the customers name",yes,2
x < 0 DM,12,existing credits paid back duly till now,education,795,x <  100 DM, x < 1 year,4,female:divorced/separated/married,none,4,if not A121:building society savings agreement/life insurance,53,none,own,1,skilled employee/official,1,none,yes,2
0 <= x < 200 DM,24,critical account/ other credits existing (not at this bank),business,2825,unknown/ no savings account,4  <= x < 7 years,4,male:single,none,3,unknown/no property,34,none,own,2,skilled employee/official,2,"yes, registered under the customers name",yes,1
0 <= x < 200 DM,48,existing credits paid back duly till now,business,15672,x <  100 DM,1  <= x < 4 years,2,male:single,none,2,car or other,23,none,own,1,skilled employee/official,1,"yes, registered under the customers name",yes,2
no checking account,36,critical account/ other credits existing (not at this bank),car (new),6614,x <  100 DM,x >= 7 years,4,male:single,none,4,car or other,34,none,own,2,management/self-employed/highly qualified employee/ officer,1,"yes, registered under the customers name",yes,1
no checking account,28,all credits at this bank paid back duly,car (used),7824,unknown/ no savings account, x < 1 year,3,male:single,guarantor,4,real estate,40,bank,rent,2,skilled employee/official,2,"yes, registered under the customers name",yes,1
x < 0 DM,27,critical account/ other credits existing (not at this bank),business,2442,x <  100 DM,x >= 7 years,4,male:single,none,4,car or other,43,stores,own,4,management/self-employed/highly qualified employee/ officer,2,"yes, registered under the customers name",yes,1
no checking account,15,critical account/ other credits existing (not at this bank),radio/television,1829,x <  100 DM,x >= 7 years,4,male:single,none,4,car or other,46,none,own,2,skilled employee/official,1,"yes, registered under the customers name",yes,1
x < 0 DM,12,critical account/ other credits existing (not at this bank),car (new),2171,x <  100 DM,1  <= x < 4 years,4,male:single,none,4,if not A121:building society savings agreement/life insurance,38,bank,own,2,unskilled-resident,1,none,no,1
0 <= x < 200 DM,36,critical account/ other credits existing (not at this bank),car (used),5800,x <  100 DM,1  <= x < 4 years,3,male:single,none,4,car or other,34,none,own,2,skilled employee/official,1,"yes, registered under the customers name",yes,1
no checking account,18,critical account/ other credits existing (not at this bank),radio/television,1169,unknown/ no savings account,1  <= x < 4 years,4,male:single,none,3,if not A121:building society savings agreement/life insurance,29,none,own,2,skilled employee/official,1,"yes, registered under the customers name",yes,1
no checking account,36,delay in paying off in the past,car (used),8947,unknown/ no savings account,4  <= x < 7 years,3,male:single,none,2,car or other,31,stores,own,1,management/self-employed/highly qualified employee/ officer,2,"yes, registered under the customers name",yes,1
x < 0 DM,21,existing credits paid back duly till now,radio/television,2606,x <  100 DM, x < 1 year,4,female:divorced/separated/married,none,4,if not A121:building society savings agreement/life insurance,28,none,rent,1,management/self-employed/highly qualified employee/ officer,1,"yes, registered under the customers name",yes,1
no checking account,12,critical account/ other credits existing (not at this bank),furniture/equipment,1592,x >= 1000 DM,4  <= x < 7 years,3,female:divorced/separated/married,none,2,if not A121:building society savings agreement/life insurance,35,none,own,1,skilled employee/official,1,none,no,1
no checking account,15,existing credits paid back duly till now,furniture/equipment,2186,unknown/ no savings account,4  <= x < 7 years,1,female:divorced/separated/married,none,4,real estate,33,bank,rent,1,unskilled-resident,1,none,yes,1
x < 0 DM,18,existing credits paid back duly till now,furniture/equipment,4153,x <  100 DM,1  <= x < 4 years,2,male:single,co-applicant,3,car or other,42,none,own,1,skilled employee/official,1,none,yes,2
x < 0 DM,16,critical account/ other credits existing (not at this bank),car (new),2625,x <  100 DM,x >= 7 years,2,male:single,guarantor,4,if not A121:building society savings agreement/life insurance,43,bank,rent,1,skilled employee/official,1,"yes, registered under the customers name",yes,2
no checking account,20,critical account/ other credits existing (not at this bank),car (new),3485,unknown/ no savings account, x < 1 year,2,male:divorced/separated,none,4,real estate,44,none,own,2,skilled employee/official,1,"yes, registered under the customers name",yes,1
no checking account,36,critical account/ other credits existing (not at this bank),car (used),10477,unknown/ no savings account,x >= 7 years,2,male:single,none,4,unknown/no property,42,none,for free,2,skilled employee/official,1,none,yes,1
no checking account,15,existing credits paid back duly till now,radio/television,1386,unknown/ no savings account,1  <= x < 4 years,4,male:married/widowed,none,2,real estate,40,none,rent,1,skilled employee/official,1,"yes, registered under the customers name",yes,1
no checking account,24,existing credits paid back duly till now,radio/television,1278,x <  100 DM,x >= 7 years,4,male:single,none,1,real estate,36,none,own,1,management/self-employed/highly qualified employee/ officer,1,"yes, registered under the customers name",yes,1
x < 0 DM,12,existing credits paid back duly till now,radio/television,1107,x <  100 DM,1  <= x < 4 years,2,male:single,none,2,real estate,20,none,rent,1,management/self-employed/highly qualified employee/ officer,2,"yes, registered under the customers name",yes,1
x < 0 DM,21,existing credits paid back duly till now,car (new),3763,unknown/ no savings account,4  <= x < 7 years,2,male:single,co-applicant,2,real estate,24,none,own,1,unskilled-resident,1,none,no,1
0 <= x < 200 DM,36,existing credits paid back duly till now,education,3711,unknown/ no savings account,1  <= x < 4 years,2,male:married/widowed,none,2,car or other,27,none,own,1,skilled employee/official,1,none,yes,1
no checking account,15,delay in paying off in the past,car (used),3594,x <  100 DM, x < 1 year,1,female:divorced/separated/married,none,2,if not A121:building society savings agreement/life insurance,46,none,own,2,unskilled-resident,1,none,yes,1
0 <= x < 200 DM,9,existing credits paid back duly till now,car (new),3195,unknown/ no savings account,1  <= x < 4 years,1,female:divorced/separated/married,none,2,real estate,33,none,own,1,unskilled-resident,1,none,yes,1
no checking account,36,delay in paying off in the past,radio/television,4454,x <  100 DM,1  <= x < 4 years,4,female:divorced/separated/married,none,4,real estate,34,none,own,2,skilled employee/official,1,none,yes,1
0 <= x < 200 DM,24,critical account/ other credits existing (not at this bank),furniture/equipment,4736,x <  100 DM, x < 1 year,2,female:divorced/separated/married,none,4,car or other,25,bank,own,1,unskilled-resident,1,none,yes,2
0 <= x < 200 DM,30,existing credits paid back duly till now,radio/television,2991,unknown/ no savings account,x >= 7 years,2,female:divorced/separated/married,none,4,car or other,25,none,own,1,skilled employee/official,1,none,yes,1
no checking account,11,existing credits paid back duly till now,business,2142,x >= 1000 DM,x >= 7 years,1,male:divorced/separated,none,2,real estate,28,none,own,1,skilled employee/official,1,"yes, registered under the customers name",yes,1
x < 0 DM,24,all credits at this bank paid back duly,business,3161,x <  100 DM,1  <= x < 4 years,4,male:single,none,2,if not A121:building society savings agreement/life insurance,31,none,rent,1,skilled employee/official,1,"yes, registered under the customers name",yes,2
0 <= x < 200 DM,48,no credits taken/ all credits paid back duly,others,18424,x <  100 DM,1  <= x < 4 years,1,female:divorced/separated/married,none,2,if not A121:building society savings agreement/life insurance,32,bank,own,1,management/self-employed/highly qualified employee/ officer,1,"yes, registered under the customers name",no,2
no checking account,10,existing credits paid back duly till now,car (used),2848,100 <= x <  500 DM,1  <= x < 4 years,1,male:single,co-applicant,2,real estate,32,none,own,1,skilled employee/official,2,none,yes,1
x < 0 DM,6,existing credits paid back duly till now,car (new),14896,x <  100 DM,x >= 7 years,1,male:single,none,4,unknown/no property,68,bank,own,1,management/self-employed/highly qualified employee/ officer,1,"yes, registered under the customers name",yes,2
x < 0 DM,24,existing credits paid back duly till now,furniture/equipment,2359,100 <= x <  500 DM,unemployed,1,male:divorced/separated,none,1,if not A121:building society savings agreement/life insurance,33,none,own,1,skilled employee/official,1,none,yes,2
x < 0 DM,24,existing credits paid back duly till now,furniture/equipment,3345,x <  100 DM,x >= 7 years,4,male:single,none,2,if not A121:building society savings agreement/life insurance,39,none,rent,1,management/self-employed/highly qualified employee/ officer,1,"yes, registered under the customers name",yes,2
no checking account,18,critical account/ other credits existing (not at this bank),furniture/equipment,1817,x <  100 DM,1  <= x < 4 years,4,female:divorced/separated/married,none,2,unknown/no property,28,none,own,2,skilled employee/official,1,none,yes,1
no checking account,48,delay in paying off in the past,radio/television,12749,500 <= x < 1000 DM,4  <= x < 7 years,4,male:single,none,1,car or other,37,none,own,1,management/self-employed/highly qualified employee/ officer,1,"yes, registered under the customers name",yes,1
x < 0 DM,9,existing credits paid back duly till now,radio/television,1366,x <  100 DM, x < 1 year,3,female:divorced/separated/married,none,4,if not A121:building society savings agreement/life insurance,22,none,rent,1,skilled employee/official,1,none,yes,2
0 <= x < 200 DM,12,existing credits paid back duly till now,car (new),2002,x <  100 DM,4  <= x < 7 years,3,male:single,none,4,if not A121:building society savings agreement/life insurance,30,none,rent,1,skilled employee/official,2,"yes, registered under the customers name",yes,1
x < 0 DM,24,all credits at this bank paid back duly,furniture/equipment,6872,x <  100 DM, x < 1 year,2,male:divorced/separated,none,1,if not A121:building society savings agreement/life insurance,55,bank,own,1,skilled employee/official,1,"yes, registered under the customers name",yes,2
x < 0 DM,12,all credits at this bank paid back duly,car (new),697,x <  100 DM, x < 1 year,4,male:single,none,2,car or other,46,bank,own,2,skilled employee/official,1,"yes, registered under the customers name",yes,2
x < 0 DM,18,critical account/ other credits existing (not at this bank),furniture/equipment,1049,x <  100 DM, x < 1 year,4,female:divorced/separated/married,none,4,if not A121:building society savings agreement/life insurance,21,none,rent,1,skilled employee/official,1,none,yes,1
